Brand No.,Brand Title,English,Japanese,Maker title 
26773,VIVANT JOIE,VIVANT JOIE,ビーバンジョア,
26870,ピアジェ,PIAGET,ピアジェ,
26882,Cynet,Cynet,サイネット,
26964,テンピュール,tempur,テンピュール,
27002,マンフロット,Manfrotto,マンフロット,
27253,スパンクス,spanx,スパンクス,
27279,fantasy world,fantasy world,ファンタジーワールド,
27289,エクシード,EXCEED,エクシード,
27303,ルッソ,LUSSO,ルッソ,
27383,アイリバー,iriver,アイリバー,
27384,キャレックスコリア,Carex,カレックス,
27388,フォーリン,FOURING,フォーリン,
27390,カシオ,CASIO,カシオ,
27394,タニタ,TANITA,タニタ,
27396,オムロン,OMRON,オムロン,
27404,コレール,CORELLE,コレール,
27411,シリット,Silit,シリット,
27457,東芝,TOSHIBA,トウシバ,
27482,イケア,IKEA,イケア,
27467,ウィニックス,WINIX,ウィニックス,
27517,テーラーメイドゴルフ,TaylorMade Golf,テーラーメイドゴルフ,
27528,デュラセル,Duracell,デュラセル,
27531,マルアイ,maruai,マルアイ,
27542,スコノ,SKONO,スコノ,
27553,イメーション,imation,イメーション,
27572,ベビリス,BABYLISS,ベビリスジャパン,
27588,クック,CUCKOO,クック,
27600,Samsonite,Samsonite,サムソナイト,
27602,オリブデコ,Olive Deco,オリブデコ,
27623,UGIZ,UGIZ,ユージアイ,
27635,インテル,Intel,インテル,
27649,メディハイム,Mediheim,メディハイム,
27632,富士通,FUJITSU,ふじつう,
27664,ボーズ,BOSE,ボーズ,
27666,タムロン,TAMRON,タムロン,
27685,任天堂,Nintendo,ニンテンドー,
27695,ワンスタイル,One Style,ワンスタイル,
27697,エバーラスト,EVERLAST,エバーラスト,
27709,フォッシル,fossil,フォッシル,
27710,アイスバーグ,ICEBERG,アイスバーグ,
27715,タイメックス,TIMEX,タイメックス,
27736,スウォッチ,swatch,スウォッチ,
27737,スイスミリタリー,SWISSMILITARY,スイスミリタリー,
27738,ハンイル,Hanil,ハンイル,
27731,ハーン,HAAN,ハーン,
27758,ハイアール,Haier,ハイアール,
27759,オリンパス,OLYMPUS,オリンパス,
27769,Microsoft,Microsoft,マイクロソフト,
27772,シーゲイト,Seagate,シーゲイト,
27773,ウエスタンデジタル,Western Digital,ウエスタンデジタル,
27774,ブリッツ,Britz,ブリッツ,
27763,ジャブラ,Jabra,ジャブラ,
27785,Sega,SEGA,セガ,
27830,キヤノン,Canon,キヤノン,
27842,イーブンフロー,EVENFLOW,イーブンフロー,
27890,マルシェ,MARCHER,マルシェ,
27907,グラスロック,glasslock,グラスロック,
27913,ソニー,SONY,ソニー,
27914,Clarion,Clarion,クラリオン,
27925,ロックアンドロック,Lock&Lock,ロック&ロック,
27950,Swarovski,Swarovski,スワロフスキー,
28066,アキュチェック,Accu Chek,アキュチェック,
28092,ベンキュー,BenQ,ベンキュー,
28100,ベルキン,Belkin,ベルキン,
28101,SKハイニックス,Hynix,ハイニックス,
28106,アイビーエム,IBM,アイビーエム,
28136,ロトリー,Lotree,ロトリー,
28146,マリ・クレール,Marie Claire,マリクレール,
28168,キャシーキャット,cathcat,キャシーキャット,
28193,ブルマリン,Blumarine,ブルマリン,
28213,アンジュ,Ange,アンジュ,
28228,Rally,Rally,ラリー,
28236,レノックス,Lenox,レノックス,
28239,ポートメイリオン,Portmeirion,ポートメイリオン,
28241,ヴェーエムエフ,WMF,ヴェーエムエフ,
28245,デトル,Dettol,デトル,
28246,ドルコ,Dorco,ドルコ,
28297,アン クライン,Anne Klein,アンクライン,
28301,オメガ,OMEGA,オメガ,
28304,ティソ,Tissot,ティソ,
28323,エウレカ,EUREKA,エウレカ,
28330,ハンソル メディカル,hansol medical,ハンソルメディカル,
28337,スワンズ,SWANS,スワンズ,
28350,バッファロー,BUFFALO,バッファロー,
28351,ライカ,Leica,ライカ,
28359,アイクレボ,iclebo,アイクレボ,
28361,アイロボット,iRobot,アイロボット,
28430,オシュコシュ,OSHKOSH,オシュコシュ,
28473,富士ゼロックス,Fuji Xerox,富士ゼロックス,
